"","X","brand","model","year","price","transmission","fuelType","engineSize","kmpl","kilometraggio"
"14895",62835,"Skoda"," Fabia",2006,1502.2,"Manual","Petrol",1.2,16.5991189427313,161542
"14896",62836,"Skoda"," Fabia",2017,9274.2,"Manual","Petrol",1,20.7224669603524,53437
"14897",62846,"Skoda"," Fabia",2019,12168.4,"Manual","Petrol",1,21.6387665198238,25211
"14898",62853,"Skoda"," Fabia",2018,10996.8,"Manual","Petrol",1,22.625550660793,25114
"14899",62856,"Skoda"," Fabia",2018,9710.36,"Manual","Petrol",1,22.625550660793,56106
"14900",62857,"Skoda"," Fabia",2017,9246.36,"Manual","Petrol",1,22.625550660793,27834
"14901",62860,"Skoda"," Fabia",2019,15074.2,"Manual","Petrol",1,21.6387665198238,4800
"14902",62866,"Skoda"," Fabia",2018,10434.2,"Manual","Petrol",1,20.3348017621145,12894
"14903",62871,"Skoda"," Fabia",2017,8002.84,"Manual","Petrol",1.2,21.1806167400881,81742
"14904",62879,"Skoda"," Fabia",2019,13630,"Manual","Petrol",1,22.625550660793,8197
"14905",62883,"Skoda"," Fabia",2009,3822.2,"Manual","Petrol",1.2,16.8810572687225,126400
"14906",62888,"Skoda"," Fabia",2017,10438.84,"Automatic","Petrol",1.2,21.1806167400881,40768
"14907",62889,"Skoda"," Fabia",2015,10719.56,"Automatic","Petrol",1.2,21.1806167400881,25563
"14908",62891,"Skoda"," Fabia",2018,11246.2,"Manual","Petrol",1,22.625550660793,13810
"14909",62892,"Skoda"," Fabia",2015,9274.2,"Manual","Petrol",1.2,20.7577092511013,61037
"14910",62893,"Skoda"," Fabia",2018,10434.2,"Manual","Petrol",1,22.625550660793,28634
"14911",62894,"Skoda"," Fabia",2018,11246.2,"Manual","Petrol",1,22.625550660793,13754
"14912",62902,"Skoda"," Fabia",2019,10434.2,"Manual","Petrol",1,17.7621145374449,22291
"14913",62905,"Skoda"," Fabia",2017,9162.84,"Manual","Petrol",1.2,21.1806167400881,55950
"14914",62910,"Skoda"," Fabia",2016,9278.84,"Manual","Petrol",1.2,21.1806167400881,30363
"14915",62912,"Skoda"," Fabia",2018,14494.2,"Automatic","Petrol",1,21.6387665198238,14136
"14916",62913,"Skoda"," Fabia",2015,10434.2,"Automatic","Petrol",1.2,21.1806167400881,50987
"14917",62917,"Skoda"," Fabia",2019,18206.2,"Manual","Petrol",1,21.1806167400881,1600
"14918",62918,"Skoda"," Fabia",2018,10150,"Manual","Petrol",1,20.3348017621145,4786
"14919",62924,"Skoda"," Fabia",2016,9848.4,"Manual","Petrol",1.2,21.1806167400881,53293
"14920",62925,"Skoda"," Fabia",2017,10434.2,"Manual","Petrol",1,22.625550660793,33600
"14921",62926,"Skoda"," Fabia",2004,1502.2,"Manual","Petrol",1.2,16.5991189427313,153600
"14922",62932,"Skoda"," Fabia",2017,9848.4,"Manual","Petrol",1.2,21.1806167400881,40035
"14923",62938,"Skoda"," Fabia",2017,12064,"Manual","Petrol",1,22.625550660793,12800
"14924",62940,"Skoda"," Fabia",2017,10440,"Manual","Petrol",1.2,21.1806167400881,32861
"14925",62942,"Skoda"," Fabia",2017,11008.4,"Manual","Petrol",1,22.625550660793,30166
"14926",62943,"Skoda"," Fabia",2018,10428.4,"Manual","Petrol",1,22.625550660793,47726
"14927",62949,"Skoda"," Fabia",2019,13328.4,"Manual","Petrol",1,18.1145374449339,3821
"14928",62951,"Skoda"," Fabia",2019,13908.4,"Manual","Petrol",1,21.1806167400881,1466
